PROBE_ID	PROBE_TYPE	GENE_ID	GENE_TYPE	DESCRIPTION
CATMA2A43860	E1	AT2G45460	CDS	forkhead-associated domain-containing protein / FHA domain-containing protein
CATMA2A43870	E1	AT2G45470	CDS	FLA8 (Arabinogalactan protein 8)
CATMA2A43880	E1	AT2G45480	CDS	AtGRF9 (GROWTH-REGULATING FACTOR 9)
CATMA2A43890	E2	AT2G45490	CDS	ATAUR3 (ATAURORA3), ATP binding / histone serine kinase(H3-S10 specific) / protein kinase
CATMA2A43900	E1	AT2G45500	CDS	ATP binding
CATMA2A43910	E3	AT2G45510	CDS	CYP704A2 (cytochrome P450, family 704, subfamily A, polypeptide 2), oxygen binding
CATMA2A43920	M2	AT2G45510;AT2G45520	CDS;CDS	CYP704A2 (cytochrome P450, family 704, subfamily A, polypeptide 2), oxygen binding;unknown protein
CATMA2A43930	E1	AT2G45530	CDS	zinc finger (C3HC4-type RING finger) family protein
CATMA2A43940	E1	AT2G45540	CDS	WD-40 repeat family protein / beige-related
CATMA2A43950	V1	no_gene		
CATMA2A43960	E3	AT2G45550	CDS	CYP76C4 (cytochrome P450, family 76, subfamily C, polypeptide 4), oxygen binding
CATMA2A43965	E1	AT2G45560	CDS	CYP76C1 (cytochrome P450, family 76, subfamily C, polypeptide 1), heme binding / iron ion binding / monooxygenase
CATMA2A43970	E1	AT2G45570	CDS	CYP76C2 (cytochrome P450, family 76, subfamily C, polypeptide 2), oxygen binding
CATMA2A43980	E2	AT2G45580	CDS	CYP76C3 (cytochrome P450, family 76, subfamily C, polypeptide 3), oxygen binding
CATMA2A43990	E2	AT2G45590	CDS	protein kinase family protein
CATMA2A44000	E2	AT2G45600	CDS	unknown protein
CATMA2A44010	E1	AT2G45610	CDS	unknown protein
CATMA2A44020	E1	AT2G45620	CDS	nucleotidyltransferase family protein
CATMA2A44030	VE3	AT2G45630	CDS	oxidoreductase family protein
CATMA2A44040	E1	AT2G45640	CDS	SAP18 (SIN3 ASSOCIATED POLYPEPTIDE P18), protein binding / transcription regulator
CATMA2A44045	E1	AT2G45650	CDS	AGL6 (AGAMOUS LIKE-6), DNA binding / transcription factor
CATMA2A44050	E1	AT2G45660	CDS	AGL20 (AGAMOUS-LIKE 20), transcription factor
CATMA2A44060	V1	no_gene		
CATMA2A44070	E1	AT2G45670	CDS	calcineurin B subunit-related
CATMA2A44080	E1	AT2G45680	CDS	TCP family transcription factor, putative
CATMA2A44085	E1	AT2G45690	CDS	SSE1 (SHRUNKEN SEED 1)
CATMA2A44090	EI2	AT2G45695	CDS	unknown protein
CATMA2A44100	E1	AT2G45700	CDS	sterile alpha motif (SAM) domain-containing protein
CATMA2A44110	E1	AT2G45710	CDS	40S ribosomal protein S27 (RPS27A)
CATMA2A44120	E2	AT2G45720	CDS	armadillo/beta-catenin repeat family protein
CATMA2A44130	E1	AT2G45730	CDS	eukaryotic initiation factor 3 gamma subunit family protein
CATMA2A44140	E1	AT2G45740	CDS	PEX11D
CATMA2A44150	E2	AT2G45750	CDS	dehydration-responsive family protein
CATMA2A44160	E2	AT2G45760	CDS	BAP2 (BON ASSOCIATION PROTEIN 2)
CATMA2A44165	E1	AT2G45770	CDS	CPFTSY (ferric reductase deficient 4), GTP binding
CATMA2A44170	V1	AT2G45780	otherRNA	Unknown gene
CATMA2A44180	M1	AT2G45790;AT2G45800	CDS;CDS	eukaryotic phosphomannomutase family protein;LIM domain-containing protein
CATMA2A44190	E1	AT2G45800	CDS	LIM domain-containing protein
CATMA2A44200	E1	AT2G45810	CDS	DEAD/DEAH box helicase, putative
CATMA2A44210	E2	AT2G45820	CDS	DNA-binding protein, putative
CATMA2A44220	E1	AT2G45830	CDS	DTA2 (DOWNSTREAM TARGET OF AGL15 2)
CATMA2A44230	E3	AT2G45840	CDS	unknown protein
CATMA2A44240	E1	AT2G45850	CDS	DNA-binding family protein
CATMA2A44250	E1	AT2G45860	CDS	unknown protein
CATMA2A44260	E2	AT2G45870	CDS	unknown protein
CATMA2A44270	E1	AT2G45880	CDS	BMY4 (beta-amylase 4), beta-amylase
CATMA2A44280	E1	AT2G45880	CDS	BMY4 (beta-amylase 4), beta-amylase
CATMA2A44290	E1	AT2G45890	CDS	ATROPGEF4/ROPGEF4 (KINASE PARTNER PROTEIN-LIKE), Rho guanyl-nucleotide exchange factor
CATMA2A44300	E2	AT2G45900	CDS	unknown protein
CATMA2A44310	E1	AT2G45910	CDS	protein kinase family protein / U-box domain-containing protein
CATMA2A44320	E2	AT2G45920	CDS	U-box domain-containing protein
CATMA2A44330	EI2	AT2G45920	CDS	U-box domain-containing protein
CATMA2A44340	E3	AT2G45930	CDS	unknown protein
CATMA2A44350	E3	AT2G45940	CDS	unknown protein
CATMA2A44360	E1	AT2G45950	CDS	ASK20 (ARABIDOPSIS SKP1-LIKE 20)
CATMA2A44365	E1	AT2G45960	CDS	PIP1B (plasma membrane intrinsic protein 1,2)
CATMA2A44370	E3	AT2G45970	CDS	CYP86A8 (LACERATA), fatty acid (omega-1)-hydroxylase/ oxygen binding
CATMA2A44380	E1	AT2G45980	CDS	unknown protein
CATMA2A44390	M1	AT2G45990;AT2G46000	CDS;CDS	unknown protein;unknown protein
CATMA2A44400	M1	AT2G45990;AT2G46000	CDS;CDS	unknown protein;unknown protein
CATMA2A44410	E1	AT2G46020	CDS	ATBRM/CHR2 (ARABIDOPSIS THALIANA BRAHMA), ATP binding / DNA binding / helicase/ transcription regulator
CATMA2A44420	EV1	AT2G46020	CDS	ATBRM/CHR2 (ARABIDOPSIS THALIANA BRAHMA), ATP binding / DNA binding / helicase/ transcription regulator
CATMA2A44430	E1	AT2G46030	CDS	UBC6 (UBIQUITIN-CONJUGATING ENZYME 6), ubiquitin-protein ligase
CATMA2A44440	E1	AT2G46040	CDS	ARID/BRIGHT DNA-binding domain-containing protein / ELM2 domain-containing protein
CATMA2A44450	E1	AT2G46050	CDS	pentatricopeptide (PPR) repeat-containing protein
CATMA2A44460	E2	AT2G46060	CDS	transmembrane protein-related
CATMA2A44470	EI2	AT2G46070	CDS	ATMPK12 (Arabidopsis thaliana MAP kinase 12), MAP kinase/ kinase
CATMA2A44480	E1	AT2G46080	CDS	unknown protein
CATMA2A44490	EI1	AT2G46090	CDS	diacylglycerol kinase family protein
CATMA2A44500	E1	AT2G46100	CDS	unknown protein
CATMA2A44510	E2	AT2G46110	CDS	KPHMT1/PANB1 (KETOPANTOATE HYDROXYMETHYLTRANSFERASE 1), 3-methyl-2-oxobutanoate hydroxymethyltransferase
CATMA2A44530	E2	AT2G46140	CDS	late embryogenesis abundant protein, putative / LEA protein, putative
CATMA2A44540	E1	AT2G46150	CDS	unknown protein
CATMA2A44550	E1	AT2G46160	CDS	zinc finger (C3HC4-type RING finger) family protein
CATMA2A44560	E1	AT2G46170	CDS	reticulon family protein (RTNLB5)
CATMA2A44570	EI2	AT2G46180	CDS	intracellular protein transport protein USO1-related
CATMA2A44590	E1	AT2G46200	CDS	unknown protein
CATMA2A44600	E2	AT2G46210	CDS	delta-8 sphingolipid desaturase, putative
CATMA2A44610	E1	AT2G46220	CDS	unknown protein
CATMA2A44620	E1	AT2G46225	CDS	ABI1L1 (ABI-1-LIKE 1)
CATMA2A44640	E1	AT2G46240	CDS	ATBAG6/BAG6 (ARABIDOPSIS THALIANA BCL-2-ASSOCIATED ATHANOGENE 6), calmodulin binding / protein binding
CATMA2A44650	E2	AT2G46250	CDS	myosin heavy chain-related
CATMA2A44660	E1	AT2G46260	CDS	BTB/POZ domain-containing protein
CATMA2A44663	E1	AT2G46270	CDS	GBF3 (G-BOX BINDING FACTOR 3), transcription factor
CATMA2A44670	EV1	AT2G46290	CDS	eukaryotic translation initiation factor 3 subunit 2, putative / eIF-3 beta, putative / eIF3i, putative
CATMA2A44680	E1	AT2G46300	CDS	unknown protein
CATMA2A44690	E1	AT2G46310	CDS	CRF5 (CYTOKININ RESPONSE FACTOR 5), DNA binding / transcription factor
CATMA2A44700	E2	AT2G46320	CDS	mitochondrial substrate carrier family protein
CATMA2A44715	EI2	AT2G46340	CDS	SPA1 (SUPPRESSOR OF PHYA-105 1), signal transducer
CATMA2A44720	E1	AT2G46360	CDS	unknown protein
CATMA2A44730	E1	AT2G46370	CDS	JAR1 (JASMONATE RESISTANT 1)
CATMA2A44750	E1	AT2G46380	CDS	unknown protein
CATMA2A44770	E1	AT2G46400	CDS	WRKY46 (WRKY DNA-binding protein 46), transcription factor
CATMA2A44780	EV1	AT2G46420	CDS	unknown protein
CATMA2A44785	E2	AT2G46430	CDS	ATCNGC3 (CYCLIC NUCLEOTIDE GATED CHANNEL 3), calmodulin binding / cyclic nucleotide binding / ion channel
CATMA2A44800	E2	AT2G46450	CDS	ATCNGC12 (cyclic nucleotide gated channel 12), cyclic nucleotide binding / ion channel
CATMA2A44810	IE1	AT2G46455	CDS	cytochrome oxidase biogenesis protein-related
CATMA2A44830	E1	AT2G46470	CDS	OXA1 protein, putative
CATMA2A44840	V2	no_gene		
CATMA2A44850	E2	AT2G46480	CDS	GAUT2/LGT2 (Galacturonosyltransferase 2), polygalacturonate 4-alpha-galacturonosyltransferase/ transferase, transferring glycosyl groups
CATMA2A44860	E2	AT2G46490	CDS	unknown protein
CATMA2A44870	I3	AT2G46495	CDS	zinc finger (C3HC4-type RING finger) family protein
CATMA2A44880	E2	AT2G46495	CDS	zinc finger (C3HC4-type RING finger) family protein
CATMA2A44890	E1	AT2G46495	CDS	zinc finger (C3HC4-type RING finger) family protein
CATMA2A44900	E1	AT2G46500	CDS	phosphatidylinositol 3- and 4-kinase family protein / ubiquitin family protein
CATMA2A44910	E1	AT2G46505	CDS	SDH4 (Succinate dehydrogenase subunit 4)
CATMA2A44920	E1	AT2G46510	CDS	basic helix-loop-helix (bHLH) family protein
CATMA2A44930	E1	AT2G46520	CDS	cellular apoptosis susceptibility protein, putative / importin-alpha re-exporter, putative
CATMA2A44940	E2	AT2G46530	CDS	ARF11 (AUXIN RESPONSE FACTOR 11), transcription factor
CATMA2A44950	E1	AT2G46535	CDS	unknown protein
CATMA2A44970	E1	AT2G46550	CDS	unknown protein
CATMA2A44980	E1	AT2G46560	CDS	transducin family protein / WD-40 repeat family protein
CATMA2A44990	E1	AT2G46560	CDS	transducin family protein / WD-40 repeat family protein
CATMA2A45000	E1	AT2G46570	CDS	LAC6 (laccase 6), copper ion binding / oxidoreductase
CATMA2A45010	E1	AT2G46580	CDS	pyridoxine 5p-phosphate oxidase-related
CATMA2A45020	E2	AT2G46590	CDS	DAG2 (DOF AFFECTING GERMINATION 2), DNA binding
CATMA2A45030	E2	AT2G46600	CDS	calcium-binding protein, putative
CATMA2A45040	EI1	AT2G46610	CDS	arginine/serine-rich splicing factor, putative
CATMA2A45050	E1	AT2G46620	CDS	AAA-type ATPase family protein
CATMA2A45060	E1	AT2G46630	CDS	pseudogene
CATMA2A45070	E1	AT2G46640	CDS	unknown protein
CATMA2A45080	E1	AT2G46650	CDS	B5 #1 (cytochrome b5 family protein #1), heme binding / transition metal ion binding
CATMA2A45090	E2	AT2G46660	CDS	CYP78A6 (cytochrome P450, family 78, subfamily A, polypeptide 6), oxygen binding
CATMA2A45100	E3	AT2G46670	CDS	pseudo-response regulator, putative / timing of CAB expression 1-like protein, putative
CATMA2A45105	E1	AT2G46680	CDS	ATHB-7 (ARABIDOPSIS THALIANA HOMEOBOX 7)
CATMA2A45110	E2	AT2G46690	CDS	auxin-responsive family protein
CATMA2A45120	E2	AT2G46700	CDS	calcium-dependent protein kinase, putative / CDPK, putative
CATMA2A45130	E2	AT2G46700	CDS	calcium-dependent protein kinase, putative / CDPK, putative
CATMA2A45140	E1	AT2G46710	CDS	rac GTPase activating protein, putative
CATMA2A45150	E1	AT2G46710	CDS	rac GTPase activating protein, putative
CATMA2A45180	E1	AT2G46730	CDS	pseudogene
CATMA2A45190	E1	AT2G46735	CDS	unknown protein
CATMA2A45200	EI3	AT2G46740	CDS	FAD-binding domain-containing protein
CATMA2A45220	VE2	AT2G46760	CDS	FAD-binding domain-containing protein
CATMA2A45230	E2	AT2G46770	CDS	NST1 (NAC SECONDARY WALL THICKENING PROMOTING FACTOR1), transcription factor
CATMA2A45240	E1	AT2G46780	CDS	RNA recognition motif (RRM)-containing protein
CATMA2A45250	E2	AT2G46790	CDS	APRR9 (PSEUDO-RESPONSE REGULATOR 9)
CATMA2A45255	E2	AT2G46800	CDS	ATMTP1/MTP1/ZAT1 (ZINC TRANSPORTER OF ARABIDOPSIS THALIANA), zinc ion transporter
CATMA2A45260	E2	AT2G46810	CDS	basic helix-loop-helix (bHLH) family protein
CATMA2A45270	E1	AT2G46820	CDS	TMP14 (THYLAKOID MEMBRANE PHOSPHOPROTEIN OF 14 KDA)
CATMA2A45275	E1	AT2G46830	CDS	CCA1 (CIRCADIAN CLOCK ASSOCIATED 1), transcription factor
CATMA2A45280	EI1	AT2G46840	CDS	unknown protein
CATMA2A45290	E1	AT2G46850	CDS	ATP binding / protein kinase/ protein-tyrosine kinase
CATMA2A45310	E2	AT2G46870	CDS	NGA1 (NGATHA1), transcription factor
CATMA2A45320	E1	AT2G46880	CDS	ATPAP14/PAP14, acid phosphatase/ protein serine/threonine phosphatase
CATMA2A45330	E1	AT2G46890	CDS	unknown protein
CATMA2A45340	E1	AT2G46900	CDS	unknown protein
CATMA2A45350	E1	AT2G46910	CDS	plastid-lipid associated protein PAP / fibrillin family protein
CATMA2A45360	E1	AT2G46915	CDS	unknown protein
CATMA2A45370	E1	AT2G46915	CDS	unknown protein
CATMA2A45380	E1	AT2G46920	CDS	POL (POLTERGEIST), protein phosphatase type 2C
CATMA2A45390	E1	AT2G46930	CDS	pectinacetylesterase, putative
CATMA2A45400	E1	AT2G46940	CDS	unknown protein
CATMA2A45410	E2	AT2G46950	CDS	CYP709B2 (cytochrome P450, family 709, subfamily B, polypeptide 2), oxygen binding
CATMA2A45420	E1	AT2G46960	CDS	CYP709B1 (cytochrome P450, family 709, subfamily B, polypeptide 1), oxygen binding
CATMA2A45430	E1	AT2G46970	CDS	PIL1 (PHYTOCHROME INTERACTING FACTOR 3-LIKE 1), transcription factor
CATMA2A45440	E1	AT2G46980	CDS	unknown protein
CATMA2A45450	E3	AT2G46990	CDS	IAA20 (indoleacetic acid-induced protein 20), transcription factor
CATMA2A45460	EV1	AT2G46995	CDS	unknown protein
CATMA2A45470	E2	AT2G47000	CDS	PGP4 (P-GLYCOPROTEIN 4, P-GLYCOPROTEIN4), ATPase, coupled to transmembrane movement of substances / xenobiotic-transporting ATPase
CATMA2A45480	E2	AT2G47010	CDS	unknown protein
CATMA2A45490	M1	AT2G47015;AT2G47020	miRNA;CDS	MIR408;peptide chain release factor, putative
CATMA2A45520	E2	AT2G47050	CDS	invertase/pectin methylesterase inhibitor family protein
CATMA2A45530	E1	AT2G47060	CDS	kinase
CATMA2A45535	E2	AT2G47070	CDS	SPL1 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 1), DNA binding / transcription factor
CATMA2A45540	E3	AT2G47090	CDS	nucleic acid binding
CATMA2A45550	M2	AT2G47110;AT2G47115	CDS;CDS	UBQ6 (ubiquitin 6), protein binding;unknown protein
CATMA2A45560	EI1	AT2G47115	CDS	unknown protein
CATMA2A45570	VE2	AT2G47120	CDS	short-chain dehydrogenase/reductase (SDR) family protein
CATMA2A45580	E3	AT2G47130	CDS	short-chain dehydrogenase/reductase (SDR) family protein
CATMA2A45590	E2	AT2G47140	CDS	short-chain dehydrogenase/reductase (SDR) family protein
CATMA2A45610	E3	AT2G47160	CDS	BOR1 (REQUIRES HIGH BORON 1)
CATMA2A45620	M1	AT2G47170;AT2G47180	CDS;CDS	ARF1A1c (ADP-RIBOSYLATION FACTOR 1), GTP binding / phospholipase activator/ protein binding;ATGOLS1 (ARABIDOPSIS THALIANA GALACTINOL SYNTHASE 1), transferase, transferring hexosyl groups
CATMA2A45630	E1	AT2G47190	CDS	MYB2 (myb domain protein 2), DNA binding / transcription factor
CATMA2A45640	E1	AT2G47200	CDS	unknown protein
CATMA2A45650	E1	AT2G47210	CDS	myb family transcription factor
CATMA2A45660	E3	AT2G47220	CDS	3p exoribonuclease family domain 1 protein-related
CATMA2A45670	EI3	AT2G47220	CDS	3p exoribonuclease family domain 1 protein-related
CATMA2A45680	E2	AT2G47220	CDS	3p exoribonuclease family domain 1 protein-related
CATMA2A45690	E3	AT2G47230	CDS	agenet domain-containing protein
CATMA2A45700	E1	AT2G47240	CDS	long-chain-fatty-acid--CoA ligase family protein / long-chain acyl-CoA synthetase family protein
CATMA2A45710	V2	no_gene		
CATMA2A45720	E1	AT2G47250	CDS	RNA helicase, putative
CATMA2A45730	E1	AT2G47260	CDS	WRKY23 (WRKY DNA-binding protein 23), transcription factor
CATMA2A45740	E1	AT2G47270	CDS	transcription factor/ transcription regulator
CATMA2A45750	EI2	AT2G47280	CDS	pectinesterase
CATMA2A45760	E1	AT2G47300	CDS	ribonuclease P
CATMA2A45770	E1	AT2G47310	CDS	flowering time control protein-related / FCA gamma-related
CATMA2A45780	E2	AT2G47320	CDS	peptidyl-prolyl cis-trans isomerase cyclophilin-type family protein
CATMA2A45790	E1	AT2G47330	CDS	DEAD/DEAH box helicase, putative
CATMA2A45800	E2	AT2G47340	CDS	invertase/pectin methylesterase inhibitor family protein
CATMA2A45810	E1	AT2G47350	CDS	PAPA-1-like family protein / zinc finger (HIT type) family protein
CATMA2A45820	E1	AT2G47360	CDS	unknown protein
CATMA2A45830	E3	AT2G47370	CDS	unknown protein
CATMA2A45840	E3	AT2G47380	CDS	cytochrome c oxidase subunit Vc family protein / COX5C family protein
CATMA2A45850	E1	AT2G47390	CDS	serine-type peptidase
CATMA2A45860	E2	AT2G47400	CDS	CP12-1 (CP12 domain-containing protein 1)
CATMA2A45870	EI1	AT2G47410	CDS	nucleotide binding
CATMA2A45880	E2	AT2G47410	CDS	nucleotide binding
CATMA2A45890	E3	AT2G47420	CDS	dimethyladenosine transferase, putative
CATMA2A45895	E1	AT2G47430	CDS	CKI1 (CYTOKININ-INDEPENDENT 1), protein histidine kinase/ two-component response regulator
CATMA2A45900	E1	AT2G47440	CDS	DNAJ heat shock N-terminal domain-containing protein
CATMA2A45910	E1	AT2G47450	CDS	CAO (CHAOS), chromatin binding
CATMA2A45915	E1	AT2G47460	CDS	MYB12 (myb domain protein 12), DNA binding / transcription factor/ transcriptional activator
CATMA2A45920	M1	AT2G47470;AT2G47480	CDS;CDS	ATPDIL2-1/MEE30/UNE5 (PDI-LIKE 2-1, maternal effect embryo arrest 30, unfertilized embryo sac 5);unknown protein
CATMA2A45930	E1	AT2G47480	CDS	unknown protein
CATMA2A45950	E2	AT2G47490	CDS	mitochondrial substrate carrier family protein
CATMA2A45960	E2	AT2G47500	CDS	microtubule motor
CATMA2A45970	E1	AT2G47500	CDS	microtubule motor
CATMA2A45975	E1	AT2G47510	CDS	FUM1 (FUMARASE 1)
CATMA2A45980	E1	AT2G47520	CDS	AP2 domain-containing transcription factor, putative
CATMA2A45990	E2	AT2G47530	CDS	unknown protein
CATMA2A46000	E1	AT2G47540	CDS	pollen Ole e 1 allergen and extensin family protein
CATMA2A46010	E1	AT2G47550	CDS	pectinesterase family protein
CATMA2A46020	E2	AT2G47560	CDS	zinc finger (C3HC4-type RING finger) family protein
CATMA2A46030	E3	AT2G47570	CDS	60S ribosomal protein L18 (RPL18A)
CATMA2A46032	E2	AT2G47580	CDS	U1A (SPLICEOSOMAL PROTEIN U1A), RNA binding
CATMA2A46036	E1	AT2G47590	CDS	PHR2 (PHOTOLYASE/BLUE-LIGHT RECEPTOR 2)
CATMA2A46038	E1	AT2G47600	CDS	ATMHX (MAGNESIUM/PROTON EXCHANGER), cation:cation antiporter
CATMA2A46040	E1	AT2G47610	CDS	60S ribosomal protein L7A (RPL7aA)
CATMA2A46050	E1	AT2G47620	CDS	ATSWI3A (Arabidopsis thaliana switching protein 3A), DNA binding
CATMA2A46060	E1	AT2G47630	CDS	esterase/lipase/thioesterase family protein
CATMA2A46070	E2	AT2G47640	CDS	small nuclear ribonucleoprotein D2, putative / snRNP core protein D2, putative / Sm protein D2, putative
CATMA2A46090	E2	AT2G47650	CDS	UXS4 (UDP-XYLOSE SYNTHASE 4), catalytic
CATMA2A46100	E2	AT2G47670	CDS	invertase/pectin methylesterase inhibitor family protein
CATMA2A46110	E1	AT2G47680	CDS	zinc finger (CCCH type) helicase family protein
CATMA2A46120	E1	AT2G47690	CDS	NADH-ubiquinone oxidoreductase-related
CATMA2A46130	E1	AT2G47700	CDS	zinc finger (C3HC4-type RING finger) family protein
CATMA2A46140	E2	AT2G47710	CDS	universal stress protein (USP) family protein
CATMA2A46150	IE2	AT2G47720	CDS	unknown protein
CATMA2A46160	E2	AT2G47730	CDS	ATGSTF8 (GLUTATHIONE S-TRANSFERASE 8), glutathione transferase
CATMA2A46170	E2	AT2G47750	CDS	auxin-responsive GH3 family protein
CATMA2A46180	E1	AT2G47750	CDS	auxin-responsive GH3 family protein
CATMA2A46190	IE1	AT2G47760	CDS	ALG3 family protein
CATMA2A46200	E1	AT2G47770	CDS	benzodiazepine receptor-related
CATMA2A46210	E1	AT2G47780	CDS	rubber elongation factor (REF) protein-related
CATMA2A46220	EI1	AT2G47790	CDS	transducin family protein / WD-40 repeat family protein
CATMA2A46225	E3	AT2G47800	CDS	ATMRP4 (Arabidopsis thaliana multidrug resistance-associated protein 4)
CATMA2A46230	E1	AT2G47810	CDS	histone-like transcription factor (CBF/NF-Y) family protein
CATMA2A46240	E1	AT2G47820	CDS	unknown protein
CATMA2A46250	E1	AT2G47830	CDS	cation efflux family protein / metal tolerance protein, putative (MTPc1)
CATMA2A46260	E1	AT2G47840	CDS	tic20 protein-related
CATMA2A46270	E1	AT2G47850	CDS	zinc finger (CCCH-type) family protein
CATMA2A46280	E1	AT2G47860	CDS	phototropic-responsive NPH3 family protein
CATMA2A46290	E3	AT2G47870	CDS	glutaredoxin family protein
CATMA2A46300	E1	AT2G47880	CDS	glutaredoxin family protein
CATMA2A46310	E2	AT2G47890	CDS	zinc finger (B-box type) family protein
CATMA2A46320	V1	AT2G47900	CDS	AtTLP3 (TUBBY LIKE PROTEIN 3), phosphoric diester hydrolase/ transcription factor
CATMA2A46330	E1	AT2G47900	CDS	AtTLP3 (TUBBY LIKE PROTEIN 3), phosphoric diester hydrolase/ transcription factor
CATMA2A46340	E1	AT2G47910	CDS	CRR6 (CHLORORESPIRATORY REDUCTION 6)
CATMA2A46350	E1	AT2G47920	CDS	kinase interacting family protein
CATMA2A46360	E1	AT2G47930	CDS	AGP26/ATAGP26 (ARABINOGALACTAN PROTEINS 26)
CATMA2A46370	E1	AT2G47940	CDS	DEGP2 (DEGP PROTEASE 2), serine-type peptidase/ trypsin
CATMA2A46380	E1	AT2G47940	CDS	DEGP2 (DEGP PROTEASE 2), serine-type peptidase/ trypsin
CATMA2A46390	E1	AT2G47950	CDS	unknown protein
CATMA2A46400	E1	AT2G47960	CDS	unknown protein
CATMA2A46410	E1	AT2G47960	CDS	unknown protein
CATMA2A46420	E3	AT2G47970	CDS	NPL4 family protein
CATMA2A46425	M1	AT2G47980;AT2G47990	CDS;CDS	SCC3 (sister-chromatide cohesion protein 3), binding;SWA1 (SLOW WALKER1), nucleotide binding
CATMA2A46430	E1	AT2G47990	CDS	SWA1 (SLOW WALKER1), nucleotide binding
CATMA2A46440	E2	AT2G48000	CDS	pentatricopeptide (PPR) repeat-containing protein
CATMA2A46445	E1	AT2G48010	CDS	RKF3 (RECEPTOR-LIKE KINASE IN IN FLOWERS 3), kinase
CATMA2A46450	E1	AT2G48020	CDS	sugar transporter, putative
CATMA2A46460	E2	AT2G48030	CDS	endonuclease/exonuclease/phosphatase family protein
CATMA2A46470	E1	AT2G48040	CDS	unknown protein
CATMA2A46480	E1	AT2G48070	CDS	unknown protein
CATMA2A46490	E1	AT2G48080	CDS	oxidoreductase, 2OG-Fe(II) oxygenase family protein
CATMA2A46500	E1	AT2G48090	CDS	unknown protein
CATMA2A46510	E1	AT2G48100	CDS	exonuclease
CATMA2A46520	E2	AT2G48110	CDS	structural constituent of ribosome
CATMA2A46525	E1	AT2G48120	CDS	PAC (PALE CRESS)
CATMA2A46540	E1	AT2G48130	CDS	protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
CATMA2A46550	E1	AT2G48140	CDS	EDA4 (embryo sac development arrest 4), lipid binding
CATMA2A46570	E1	AT2G48160	CDS	PWWP domain-containing protein
CATMA2B00520	E1	AT2G01480	CDS	unknown protein
CATMA2B00590	E2	AT2G01540	CDS	C2 domain-containing protein
CATMA2B00800	EI1	AT2G01750	CDS	ATMAP70-3 (microtubule-associated proteins 70-3), microtubule binding
CATMA2B00960	E2	AT2G01910	CDS	ATMAP65-6
CATMA2B00990	E1	AT2G01930	CDS	ATBPC1/BBR/BPC1/BPC1 (BASIC PENTACYSTEINE1)
CATMA2B01690	E2	AT2G02790	CDS	IQD29 (IQ-domain 29), calmodulin binding
CATMA2B02020	EI2	AT2G03110	CDS	nucleic acid binding
CATMA2B02160	IE1	AT2G03250	CDS	EXS family protein / ERD1/XPR1/SYG1 family protein
CATMA2B02180	EI1	AT2G03260	CDS	EXS family protein / ERD1/XPR1/SYG1 family protein
CATMA2B02210	E1	AT2G03290	CDS	emp24/gp25L/p24 family protein
CATMA2B02370	E2	AT2G03450	CDS	ATPAP9/PAP9 (purple acid phosphatase 9), acid phosphatase/ protein serine/threonine phosphatase
CATMA2B02400	E2	AT2G03480	CDS	dehydration-responsive protein-related
CATMA2B02490	E2	AT2G03560	CDS	F-box family protein (FBX7)
CATMA2B02740	E2	AT2G03850	CDS	late embryogenesis abundant domain-containing protein / LEA domain-containing protein
CATMA2B03140	EI1	AT1G04985	CDS	unknown protein
CATMA2B03260	E2	AT2G04280	CDS	unknown protein
CATMA2B03280	E2	AT2G04300	CDS	leucine-rich repeat protein kinase, putative
CATMA2B03420	EV2	AT2G04430	CDS	ATNUDT5 (Arabidopsis thaliana Nudix hydrolase homolog 5), hydrolase
CATMA2B03490	E1	AT2G04520	CDS	eukaryotic translation initiation factor 1A, putative / eIF-1A, putative / eIF-4C, putative
CATMA2B03580	IE1	AT1G05470	CDS	endonuclease/exonuclease/phosphatase family protein
CATMA2B04450	M1	AT2G05710;AT2G05715	CDS;CDS	aconitate hydratase, cytoplasmic, putative / citrate hydro-lyase/aconitase, putative;pseudogene
CATMA2B04570	V2	AT2G05800	Repeat_TAIR	transposable element gene
CATMA2B04880	V1	AT2G06170	Repeat_TAIR	transposable element gene
CATMA2B05950	V2	AT2G07160	Repeat_TAIR	transposable element gene
CATMA2B06080	V1	AT2G07330	Repeat_TAIR	transposable element gene
CATMA2B06290	V1	ATLINE1_2	Repeat_Element	Repeat Element: family LINE/L1
CATMA2B06330	R4	AT2E05350;ATMG00516	CDS_Eugene;CDS	EUGENE prediction;Encodes subunit of mitochondrial NAD(P)H dehydrogenase that is trans-spliced from three precursors, NAD1A, NAD1B, and NAD1C.
CATMA2B06360	R4	AT2G07749;ATMG01100	CDS;CDS	unknown protein;hypothetical protein
CATMA2B06370	R4	HYPMIR_1239_1144	MIR	unknown
CATMA2B06380	E3	AT2G07777	CDS	unknown protein
CATMA2B06410	E3	AT2G07779	CDS	unknown protein
CATMA2B06480	R4	AT2G07768;ATMG00960	CDS;CDS	pseudogene;Encodes a protein of the mitochondrial membrane which has been shown to be present in a number of unidentified complexes including a 500-KDa complex postulated to have heme lyase activity, in which another protein (AtCCMH, AT1G15220) is also involved. cytochrome c biogenesis orf203.
CATMA2B06550	R4	AT2G07773;ATMG00910	CDS;CDS	unknown protein;hypothetical protein
CATMA2B06570	R4	AT2G07682	Repeat_TAIR	transposable element gene
